Obs	Year	Month	Day	Latitude	Longitude	ZonWinds	MerWinds	Humidity	AirTemp	SSTemp
30070	97	7	13	-0.03	-170.04	-5.2	-0.4	81.9	29.32	29.53
30071	97	7	14	-0.03	-170.03	-3.6	-0.1	85.3	28.07	29.55
30072	97	7	15	-0.02	-170.04	-2.5	-1.1	82.8	28.7	29.61
30073	97	7	16	-0.04	-170.03	-0.6	-1.1	81.9	28.3	29.54
30074	97	7	17	-0.04	-170.03	-1.8	-0.4	82.8	28.15	29.46
30075	97	7	18	-0.04	-170.04	-3	0.7	77.7	29.01	29.55
30076	97	7	19	-0.03	-170.03	-3.2	-0.3	79.8	29.13	29.66
30077	97	7	20	-0.03	-170.03	-0.9	2.3	87.4	27.44	29.56
30078	97	7	21	-0.03	-170.03	0.5	1.7	90.8	25.91	29.12
30079	97	7	22	-0.03	-170.03	1.7	-0.5	81.1	27.4	29.28
30080	97	7	23	-0.03	-170.03	0.7	-0.4	78.9	28.42	29.65
30081	97	7	24	-0.03	-170.03	-2.4	-2.1	80.6	28.74	29.58
30082	97	7	25	-0.03	-170.03	-2.5	1.9	81.9	28.5	29.53
30083	97	7	26	-0.03	-170.03	-2.3	0.6	84.5	28.07	29.48
30084	97	7	27	-0.03	-170.03	-2.6	-1.7	84	28.42	29.5
30085	97	7	28	-0.03	-170.03	-3.1	-1.2	83.6	28.46	29.64
30086	97	7	29	-0.03	-170.03	-3.5	0.1	85.3	28.46	29.59
30087	97	7	30	-0.02	-170.03	-5.3	-0.2	83.2	29.05	29.6
30088	97	7	31	-0.03	-170.03	-5.4	0.4	81.9	29.48	29.58
30089	97	8	1	-0.03	-170.02	-2.7	0.6	82.8	28.85	29.54
30090	97	8	2	-0.03	-170.03	1.5	-1.3	90.4	26.46	29.45
30091	97	8	3	-0.03	-170.03	-0.7	6	81.5	28.42	29.52
30092	97	8	4	-0.03	-170.03	-3.3	1.8	77.7	29.09	29.56
30093	97	8	5	-0.03	-170.03	-2.7	-2.3	82.8	28.26	29.64
30094	97	8	6	-0.03	-170.02	-2.2	-1.4	76.4	29.05	29.66
30095	97	8	7	-0.04	-170.02	-1.4	0.2	77.7	28.66	29.92
30096	97	8	8	-0.03	-170.03	-3.8	3.3	77.7	29.21	29.79
30097	97	8	9	-0.03	-170.03	-1.1	1.5	78.5	28.89	29.75
30098	97	8	10	-0.03	-170.03	0.3	-1.2	82.3	28.26	29.84
30099	97	8	11	-0.03	-170.03	2	-0.1	81.5	28.15	29.89
30100	97	8	12	-0.04	-170.03	-1	1.9	76.4	29.09	30.05
30101	97	8	13	-0.04	-170.04	-3.3	0.5	77.7	29.17	29.99
30102	97	8	14	-0.03	-170.04	-0.9	-1.4	74.3	29.25	29.94
30103	97	8	15	-0.04	-170.04	3.4	1.5	84	26.58	29.96
30104	97	8	16	-0.04	-170.04	3.1	-3.6	77.2	27.64	29.76
30105	97	8	17	-0.04	-170.04	2.3	-0.6	74.3	29.01	30.01
30106	97	8	18	-0.03	-170.03	1.3	1.1	76.8	28.85	30.14
30107	97	8	19	-0.03	-170.03	-2.9	4	78.1	29.32	29.94
30108	97	8	20	-0.02	-170.04	-0.4	6.4	84.9	27.4	29.76
30109	97	8	21	-0.02	-170.03	-0.6	5.2	80.6	27.25	29.57
30110	97	8	22	-0.02	-170.03	-2.6	-0.2	80.2	27.79	29.52
30111	97	8	23	-0.02	-170.04	-0.5	-3.1	81.1	28.81	29.56
30112	97	8	24	-0.03	-170.04	0.7	1.5	80.2	28.15	29.65
30113	97	8	25	-0.04	-170.05	-2.1	4.6	81.1	28.58	29.54
30114	97	8	26	-0.04	-170.04	3.2	1.8	83.6	27.95	29.42
30115	97	8	27	-0.04	-170.04	2.7	1.1	84.5	27.68	29.28
30116	97	8	28	-0.04	-170.03	4.9	1.1	84	27.64	29.2
30117	97	8	29	-0.04	-170.04	4	2.9	87.4	26.97	29.15
30118	97	8	30	-0.04	-170.02	1.6	3.3	79.8	28.38	29.19
30119	97	8	31	-0.03	-170.03	1.5	-0.5	81.9	27.87	29.15
30120	97	9	1	-0.04	-170.03	-1.7	-0.6	79.8	28.81	29.37
30121	97	9	2	-0.03	-170.04	-1	-0.6	83.6	28.15	29.31
30122	97	9	3	-0.03	-170.05	0.6	-2.1	84.9	27.64	29.24
30123	97	9	4	-0.03	-170.04	0.7	2.9	82.3	27.83	29.25
30124	97	9	5	-0.04	-170.04	-1.2	1.1	84.5	27.25	29
30125	97	9	6	-0.03	-170.04	0.2	1	75.5	28.81	29.57
30126	97	9	7	-0.04	-170.04	2.4	-1	83.6	27.72	29.61
30127	97	9	8	-0.04	-170.04	2.8	-0.9	81.9	27.6	29.2
30128	97	9	9	-0.04	-170.04	2.3	0.7	87	26.77	29.1
30129	97	9	10	-0.04	-170.04	1.3	2.8	80.6	27.99	29.06
30130	97	9	11	-0.03	-170.03	-1	-0.3	78.1	28.66	29.49
30131	97	9	12	-0.03	-170.04	-1.6	2	78.1	29.09	29.73
30132	97	9	13	-0.03	-170.04	-1.8	0.1	80.6	28.93	29.45
30133	97	9	14	-0.03	-170.04	-2.3	0.4	82.3	28.66	29.55
30134	97	9	15	-0.02	-170.04	-0.5	0.4	79.4	28.93	29.74
30135	97	9	16	-0.03	-170.05	-1.5	1.5	87	27.28	29.48
30136	97	9	17	-0.02	-170.04	-1.1	1.3	75.1	28.5	29.32
30137	97	9	18	-0.03	-170.04	-1.7	0.5	68.3	29.17	29.5
30138	97	9	19	-0.04	-170.05	1	-2.9	79.8	28.26	29.28
30139	97	9	20	-0.03	-170.04	2.5	0.9	78.9	NaN	NaN
30140	97	9	21	-0.04	-170.04	0.8	3.6	81.1	28.3	29.46
30141	97	9	22	-0.03	-170.04	0.7	1.7	77.7	28.81	29.56
30142	97	9	23	-0.03	-170.04	0.8	-1.7	75.1	29.13	29.86
30143	97	9	24	-0.03	-170.04	1.7	-0.5	80.2	28.23	29.79
30144	97	9	25	-0.03	-170.04	3	-1.1	78.9	28.58	29.64
30145	97	9	26	-0.03	-170.04	4.1	-0.2	77.7	29.17	29.72
30146	97	9	27	-0.03	-170.04	3.7	-2.7	79.8	29.13	29.73
30147	97	9	28	-0.03	-170.04	2.6	-2.1	80.2	28.97	29.79
30148	97	9	29	-0.04	-170.04	1.1	-2.3	82.8	28.42	29.87
30149	97	9	30	-0.03	-170.04	2.2	3.8	83.2	28.23	29.78
30150	97	10	1	-0.03	-170.03	4.9	0	79.8	28.85	29.66
30151	97	10	2	-0.03	-170.04	4.1	-0.2	81.9	28.62	29.74
30152	97	10	3	-0.03	-170.03	5.9	1.3	85.7	28.23	29.66
30153	97	10	4	-0.03	-170.03	8.2	0.7	87.9	27.6	29.51
30154	97	10	5	-0.02	-170.04	5.2	4.4	82.8	28.66	29.48
30155	97	10	6	-0.03	-170.02	6.9	2.8	83.6	28.54	29.43
30156	97	10	7	-0.03	-170.03	7.6	3.6	86.2	27.68	29.3
30157	97	10	8	-0.03	-170.03	5.4	7.4	81.1	28.58	29.21
30158	97	10	9	-0.03	-170.02	0.5	7	81.9	29.21	29.21
30159	97	10	10	-0.03	-170.03	2.3	2.4	80.2	28.38	29.2
30160	97	10	11	-0.03	-170.03	0.8	-0.1	82.8	28.7	29.39
30161	97	10	12	-0.03	-170.02	4	-3.3	82.8	28.7	29.22
30162	97	10	13	-0.04	-170.03	5.1	-0.4	81.1	28.89	29.28
30163	97	10	14	-0.04	-170.02	4.8	3.1	80.2	28.93	29.17
30164	97	10	15	-0.03	-170.03	3.6	1.5	81.9	28.7	29.21
30165	97	10	16	-0.03	-170.02	5.8	0.5	84.5	28.3	29.12
30166	97	10	17	-0.03	-170.03	3	2	86.6	27.52	28.98
30167	97	10	18	-0.02	-170.03	3.2	1.8	83.2	28.15	29.23
30168	97	10	19	-0.03	-170.03	4.2	1.4	82.8	28.66	29.35
30169	97	10	20	-0.03	-170.03	5.7	0.1	85.3	28.34	29.28
30170	97	10	21	-0.03	-170.03	3.8	1.5	86.2	28.03	29.16
30171	97	10	22	-0.03	-170.03	5.1	4.3	83.6	28.11	29.16
30172	97	10	23	-0.05	-170.04	5.5	1	87	27.95	28.96
30173	97	10	24	-0.04	-170.04	5.6	4.6	84.9	27.72	28.87
30174	97	10	25	-0.04	-170.04	5.3	4	82.8	28.74	28.92
30175	97	10	26	-0.04	-170.04	6.9	2.5	84.5	28.07	28.93
30176	97	10	27	-0.03	-170.03	9.5	0.7	84.9	27.72	28.88
30177	97	10	28	-0.03	-170.03	6.3	2.7	85.3	28.15	28.81
30178	97	10	29	-0.03	-170.02	7.1	1.1	84	28.15	28.77
30179	97	10	30	-0.04	-170.03	8.5	0.5	84.9	28.3	28.75
30180	97	10	31	-0.03	-170.02	6.8	2	84	28.7	28.71
30181	97	11	1	-0.03	-170.02	4.1	3.7	84.9	NaN	NaN
30182	97	11	2	-0.03	-170.03	3.8	-0.6	85.7	28.42	29.06
30183	97	11	3	-0.03	-170.03	4	-3.1	84.5	28.7	29.13
30184	97	11	4	-0.03	-170.02	4.4	-3.3	84	28.66	28.98
30185	97	11	5	-0.03	-170.03	2.1	-0.8	81.1	28.58	29.29
30186	97	11	6	-0.03	-170.01	2.5	2.7	78.9	28.89	29.49
30187	97	11	7	-0.03	-170.03	1.2	3.4	78.5	29.09	29.55
30188	97	11	8	-0.02	-170.03	0.8	3.6	82.3	28.54	29.5
30189	97	11	9	-0.03	-170.03	-0.3	0.4	80.2	28.97	29.65
30190	97	11	10	-0.03	-170.03	1.8	-2.2	78.5	29.21	29.62
30191	97	11	11	-0.03	-170.03	3	-1.3	77.7	28.89	29.4
30192	97	11	12	-0.03	-170.03	1.8	0.4	76.8	28.81	29.81
30193	97	11	13	-0.03	-170.03	0.9	-0.4	77.7	28.66	29.86
30194	97	11	14	-0.03	-170.03	0.2	-3	76.8	28.97	29.72
30195	97	11	15	-0.04	-170.03	-0.6	-2.3	79.4	28.62	29.76
30196	97	11	16	-0.03	-170.04	-0.6	-0.4	82.3	28.15	29.84
30197	97	11	17	-0.03	-170.03	-0.6	-0.2	77.2	28.81	30.03
30198	97	11	18	-0.03	-170.03	0.1	-3.4	80.2	28.77	30
30199	97	11	19	-0.03	-170.03	2.1	-1.6	83.2	28.58	29.8
30200	97	11	20	-0.03	-170.03	1.6	-1.1	82.3	28.46	29.89
30201	97	11	21	-0.03	-170.03	2.8	-0.9	82.3	28.46	29.89
30202	97	11	22	-0.03	-170.02	2.8	-2.9	84.9	28.11	29.61
30203	97	11	23	-0.03	-170.04	3.2	-4.6	84	28.62	29.44
30204	97	11	24	-0.04	-170.02	4.7	-2.6	87	27.32	29.24
30205	97	11	25	-0.04	-170.03	5.3	-1.2	84.9	27.64	29.13
30206	97	11	26	-0.03	-170.03	4.4	0.5	86.2	27.72	28.92
30207	97	11	27	-0.03	-170.04	6.3	1.4	85.7	28.23	29
30208	97	11	28	-0.03	-170.03	5.2	4.4	86.2	27.68	28.94
30209	97	11	29	-0.02	-170.03	5.1	7	85.3	28.3	28.89
30210	97	11	30	-0.03	-170.02	9.8	2.3	85.7	28.03	29
30211	97	12	1	-0.02	-170.02	10.2	5.4	86.2	27.91	29.03
30212	97	12	2	-0.02	-170.02	10.8	4.1	82.3	28.74	28.96
30213	97	12	3	-0.03	-170.03	9.8	2.5	84.9	28.3	28.94
30214	97	12	4	-0.03	-170.02	8.9	1.6	80.2	28.81	28.85
30215	97	12	5	-0.03	-170.03	7.7	1.2	81.9	28.89	28.88
30216	97	12	6	-0.03	-170.02	6	-2	83.2	28.85	28.92
30217	97	12	7	-0.03	-170.02	2.1	-4.6	83.6	28.74	28.93
30218	97	12	8	-0.03	-170.02	0.8	-6.2	83.6	28.7	28.89
30219	97	12	9	-0.03	-170.03	-1.3	-5.7	82.3	28.85	28.93
30220	97	12	10	-0.03	-170.02	-1.6	-3.5	86.2	28.66	29.01
30221	97	12	11	-0.03	-170.02	-3.9	-3.9	88.7	28.42	29.02
30222	97	12	12	-0.03	-170.03	-4	-0.2	87.4	28.23	29.04
30223	97	12	13	-0.03	-170.03	-3.3	0.5	85.7	28.46	29.09
30224	97	12	14	-0.03	-170.03	-1.5	-5.3	84.5	28.93	29.19
30225	97	12	15	-0.03	-170.03	-3	-6	84.5	29.05	29.13
30226	97	12	16	-0.04	-170.03	-3.5	-3.8	87.4	28.42	29.15
30227	97	12	17	-0.03	-170.02	-2.7	0.4	87	27.83	29.13
30228	97	12	18	-0.03	-170.03	-0.8	-0.4	83.6	28.38	29.14
30229	97	12	19	-0.03	-170.03	1.1	-3.7	87	27.4	29.22
30230	97	12	20	-0.03	-170.03	-2.9	-5.4	81.9	28.42	29.04
30231	97	12	21	-0.04	-170.04	-2.6	-4.9	81.9	28.81	29.1
30232	97	12	22	-0.04	-170.03	-2	-5.2	84.9	28.58	29.15
30233	97	12	23	-0.03	-170.03	0	-3	90.4	26.97	29.09
30234	97	12	24	-0.03	-170.03	-4.4	-4.8	88.3	27.56	29.01
30235	97	12	25	-0.04	-170.03	-2.9	-5.2	81.5	28.74	28.96
30236	97	12	26	-0.03	-170.04	-4	-3.5	86.6	28.03	28.96
30237	97	12	27	-0.02	-170.04	-0.4	-5.1	90	26.97	28.76
30238	97	12	28	-0.02	-170.04	-1.7	-6.6	84.5	28.62	28.93
30239	97	12	29	-0.03	-170.04	-2.4	-6.1	78.9	28.81	29.07
30240	97	12	30	-0.03	-170.05	-1.8	-6.4	81.9	28.7	29.19
30241	97	12	31	-0.04	-170.05	-0.8	-7.4	82.8	28.81	29.2
30242	98	1	1	-0.04	-170.04	-2.5	-3.9	87.9	27.56	29.06
30243	98	1	2	-0.04	-170.04	-0.3	-1.8	87.4	27.52	28.55
30244	98	1	3	-0.03	-170.04	0.9	-4.9	91.3	26.74	28.88
30245	98	1	4	-0.04	-170.04	-2.7	-5.3	85.7	27.95	28.83
30246	98	1	5	-0.04	-170.03	-2.8	-3.5	85.7	28.81	28.98
30247	98	1	6	-0.03	-170.05	-3.2	-4.6	87	28.74	28.99
30248	98	1	7	-0.03	-170.05	-4.1	-4.2	86.6	29.01	29.15
30249	98	1	8	-0.03	-170.04	-3.9	-4.3	86.6	28.62	29.2
30250	98	1	9	-0.03	-170.04	3	-1.9	82.8	27.99	29.26
30251	98	1	10	-0.02	-170.03	3.3	0.7	84	28.38	29.17
30252	98	1	11	-0.03	-170.04	3.2	-2	86.2	27.95	29.35
30253	98	1	12	-0.02	-170.03	4.5	-2.6	87.9	27.13	29.11
30254	98	1	13	-0.03	-170.03	0.3	-3.2	86.2	27.13	29.01
30255	98	1	14	-0.03	-170.02	-3.9	-5.3	85.7	28.58	29.07
30256	98	1	15	-0.04	-170.04	-2.9	-5.2	88.7	27.56	29
30257	98	1	16	-0.04	-170.03	-2.2	-3.8	88.7	27.25	29.12
30258	98	1	17	-0.03	-170.04	-1.7	-4.4	86.2	27.64	29.1
30259	98	1	18	-0.03	-170.04	-3.5	-6.5	84.5	27.99	29.15
30260	98	1	19	-0.03	-170.04	-1.2	-7.7	78.1	28.81	29.12
30261	98	1	20	-0.03	-170.04	-0.8	-6.6	81.9	28.85	29.09
30262	98	1	21	-0.03	-170.03	1.7	-6.2	80.2	28.77	29.14
30263	98	1	22	-0.03	-170.03	0.6	-6.8	80.6	28.77	29.19
30264	98	1	23	-0.04	-170.03	-0.8	-6.6	79.8	28.77	29.13
30265	98	1	24	-0.04	-170.04	-2.1	-5.8	79.8	28.85	29.24
30266	98	1	25	-0.03	-170.04	-1.6	-7.6	82.3	29.09	29.31
30267	98	1	26	-0.03	-170.05	-1.5	-8.2	82.8	29.13	29.32
30268	98	1	27	-0.03	-170.06	-2.5	-5.7	85.7	28.81	29.32
30269	98	1	28	-0.03	-170.05	-3.3	-7.1	83.2	29.01	29.26
30270	98	1	29	-0.03	-170.05	-2.8	-7.8	82.8	28.85	29.21
30271	98	1	30	-0.03	-170.05	-1.2	-7.9	79.8	28.77	29.22
30272	98	1	31	-0.03	-170.05	-2	-8.7	77.7	28.62	29.11
30273	98	2	1	-0.04	-170.05	0.3	-7.1	78.1	28.46	28.99
30274	98	2	2	-0.04	-170.03	-1.9	-5.8	84.9	28.54	28.93
30275	98	2	3	-0.02	-170.04	-2.8	-6.1	87.4	28.74	29.06
30276	98	2	4	-0.02	-170.04	2	-5.2	89.1	27.44	29.16
30277	98	2	5	-0.02	-170.04	-1.4	-7.7	83.2	28.19	29.15
30278	98	2	6	-0.03	-170.04	-3	-7.2	81.9	28.77	29.21
30279	98	2	7	-0.03	-170.05	-5.4	-7.6	84.9	28.77	29.17
30280	98	2	8	-0.03	-170.05	-5.1	-5.1	86.6	29.05	29.17
30281	98	2	9	-0.03	-170.05	-5.5	-0.1	88.7	28.81	29.3
30282	98	2	10	-0.01	-170.04	-3.5	-0.7	87	28.97	29.4
30283	98	2	11	-0.02	-170.04	-3.7	-6.7	85.7	28.97	29.35
30284	98	2	12	-0.03	-170.05	-1	-6.5	77.7	28.74	29.31
30285	98	2	13	-0.04	-170.04	2	-4.4	78.9	28.66	29.37
30286	98	2	14	-0.04	-170.04	-2.8	-7.6	80.6	28.7	29.28
30287	98	2	15	-0.04	-170.05	-1.6	-6.4	81.1	27.91	29.08
30288	98	2	16	-0.04	-170.05	-0.8	-6.4	78.5	28.54	28.8
30289	98	2	17	-0.02	-170.04	-2.2	-6.3	84	28.54	28.71
30290	98	2	18	-0.03	-170.04	-1.6	-6.1	86.2	28.7	28.72
30291	98	2	19	-0.03	-170.04	-3.2	-6.4	85.7	28.7	28.87
30292	98	2	20	-0.02	-170.05	-3	-6	86.2	28.58	28.85
30293	98	2	21	-0.03	-170.05	-4.3	-4	86.6	28.7	28.85
30294	98	2	22	-0.03	-170.05	-5	-4.5	87	28.5	28.88
30295	98	2	23	-0.03	-170.05	-3.7	-6.5	84	28.19	28.86
30296	98	2	24	-0.03	-170.05	-3.6	-7.5	81.9	28.58	28.99
30297	98	2	25	-0.04	-170.05	-3.9	-7	84	28.54	29.14
30298	98	2	26	-0.03	-170.05	-1.8	-6	86.2	28.34	28.95
30299	98	2	27	-0.03	-170.05	-3.5	-5.7	84.9	28.15	28.73
30300	98	2	28	-0.03	-170.05	-3.7	-5.3	87	27.95	28.45
30301	98	3	1	-0.02	-170.06	-4.2	-5	87.4	28.11	28.82
30302	98	3	2	-0.02	-170.05	-3.3	-4.4	89.1	27.4	28.61
30303	98	3	3	-0.03	-170.05	-4.8	-4.5	86.6	27.79	28.21
30304	98	3	4	-0.04	-170.05	-3.4	-5.9	87.4	27.79	27.99
30305	98	3	5	-0.04	-170.07	-3.4	-6.1	86.2	28.03	28.46
30306	98	3	6	-0.04	-170.05	-1.4	-6.3	85.3	28.26	28.84
30307	98	3	7	-0.04	-170.04	-3	-6.4	87	28.15	28.74
30308	98	3	8	-0.03	-170.04	-1	-5.2	85.3	28.34	28.99
30309	98	3	9	-0.03	-170.04	0	-3.8	83.6	28.46	29.34
30310	98	3	10	-0.02	-170.04	-0.1	-5.7	84.5	28.38	29.43
30311	98	3	11	-0.02	-170.04	-2.8	-6.1	84.5	28.54	29.36
30312	98	3	12	-0.03	-170.04	-1.9	-5.2	87	27.95	29.3
30313	98	3	13	-0.03	-170.04	-3.7	-4.3	86.6	27.95	29.45
30314	98	3	14	-0.02	-170.05	-4.9	-5.5	87	28.26	29.4
30315	98	3	15	-0.04	-170.04	-3.2	-6.2	86.2	28.54	29.35
30316	98	3	16	-0.03	-170.04	-2.2	-4.6	87.4	26.89	29.11
30317	98	3	17	-0.03	-170.03	-2.7	-8.4	82.8	28.42	29.1
30318	98	3	18	-0.04	-170.03	-0.3	-8.2	81.9	28.11	28.82
30319	98	3	19	-0.04	-170.03	-1.3	-8.1	78.9	27.91	28.21
30320	98	3	20	-0.04	-170.03	-2.9	-6.6	81.9	27.95	27.88
30321	98	3	21	-0.03	-170.03	-1.2	-6.3	81.9	27.79	27.68
30322	98	3	22	-0.03	-170.03	-2.1	-5.4	82.8	27.72	27.69
30323	98	3	23	-0.03	-170.03	-3.1	-7	85.3	27.44	27.6
30324	98	3	24	-0.03	-170.03	-4.2	-5.8	87	27.56	27.51
30325	98	3	25	-0.02	-170.03	-2.6	-5.1	88.7	27.56	27.83
30326	98	3	26	-0.03	-170.04	-1.8	-4.8	88.7	28.15	28.45
30327	98	3	27	-0.03	-170.05	-2.5	-4.1	88.7	27.6	29.1
30328	98	3	28	-0.03	-170.04	-3	-4.8	85.7	28.26	29.12
30329	98	3	29	-0.03	-170.04	-2.6	-6.1	85.3	28.74	29.28
30330	98	3	30	-0.04	-170.04	-1.5	-7.2	86.6	28.23	29.23
30331	98	3	31	-0.04	-170.04	-2.9	-6.8	84.9	28.38	29.12
30332	98	4	1	-0.04	-170.04	-2.6	-8.6	82.8	28.66	29.01
30333	98	4	2	-0.04	-170.03	-2	-7.7	83.2	28.38	28.54
30334	98	4	3	-0.04	-170.04	-5.5	-5.4	84	28.19	28.22
30335	98	4	4	-0.04	-170.03	-6.7	-4.4	85.3	28.11	28.05
30336	98	4	5	-0.03	-170.03	-5.8	-4.7	86.6	27.91	27.74
30337	98	4	6	-0.04	-169.99	-4.4	-4.6	87.9	27.75	27.59
30338	98	4	7	-0.02	-170.03	-4.4	-4.6	87	27.72	27.76
30339	98	4	8	-0.03	-170.03	-5.5	-4.2	86.2	27.75	27.99
30340	98	4	9	-0.03	-170.03	-6	-4.9	85.3	27.91	28.1
30341	98	4	10	-0.03	-170.03	-5.5	-4.2	87.9	27.72	27.88
30342	98	4	11	-0.04	-170.02	-3.8	-6.1	85.7	27.79	28.1
30343	98	4	12	-0.04	-170.04	-3.3	-5.2	86.6	27.79	28.29
30344	98	4	13	-0.03	-170.03	-6.2	-3.5	85.3	27.95	28.47
30345	98	4	14	-0.03	-170.03	-6.1	-5.7	85.7	27.72	27.83
30346	98	4	15	-0.03	-170.03	-4.2	-6.2	84.5	27.52	27.32
30347	98	4	16	-0.03	-170.03	-3	-6	87.4	27.48	27.35
30348	98	4	17	-0.04	-170.03	-4.5	-5.2	88.7	27.4	27.24
30349	98	4	18	-0.03	-170.03	-3.1	-5.2	87.9	27.09	27.24
30350	98	4	19	-0.04	-170.03	-4.2	-4.6	88.3	27.21	27.18
